Year, Games Played
1963, 3860
1964, 2191
1965, 653
1966, 6195
1967, 939
1968, 1999
1969, 14190
1970, 16511
1971, 16712
1972, 20790
1973, 22180
1974, 28980
1975, 20902
1976, 19262
1977, 23216
1978, 29536
1979, 47678
1980, 45577
1981, 31047
1982, 39286
1983, 39428
1984, 42633
1985, 31786
1986, 29363
1987, 31883
1988, 34532
1989, 37082
1990, 39464
1991, 40439
1992, 36214
1993, 44352
1994, 39799
1995, 29676
1996, 35397
1997, 29415
1998, 40278
1999, 25709
2000, 30148
2001, 36606
2002, 32022
2003, 48002
2004, 36311
2005, 32975
2006, 29242
2007, 32566
2008, 32725
2009, 36629
2010, 30992
2011, 32426
2012, 28749
2013, 25264
2014, 20487
2015, 22097
2016, 14420
2017, 10606
2018, 6980
2019, 3924
2020, 2281
2021, 799
2022, 53
2023, null
